Einleitung Kapitel 10 Anhang - FAQs Karteikarten (Coronavirus Flashcards)|TODO
Was sind Coronavirus Flashcards? (Coronavirus Flashcards)|TODO
Für wen sind die Flashcards geeignet? (Coronavirus Flashcards)|TODO
Warum Anki? (Coronavirus Flashcards)|TODO
Warum richten wir unseren Fokus auf Flashcards? (Coronavirus Flashcards)|TODO
Warum veröffentlichen wir die Flashcards unter einer Open Source Lizenz? (Coronavirus Flashcards)|TODO
Kann ich diese Arbeit für kommerzielle Zwecke nutzen? (Coronavirus Flashcards)|TODO
Warum benutzen wir GitHub? (Coronavirus Flashcards)|TODO
