Глава 10. Дополнительно - Часто задаваемые вопросы о Flashcards. Введение. (Коронавирус Flashcards)|TODO
What is Coronavirus Flashcards? (Coronavirus Flashcards)|TODO
Who is it for? (Coronavirus Flashcards)|TODO
Why Anki? (Coronavirus Flashcards)|TODO
Why did we focus on flashcards? (Coronavirus Flashcards)|TODO
Why did we release it under an open source license? (Coronavirus Flashcards)|TODO
Can I use this work for commercial use? (Coronavirus Flashcards)|TODO
Why did we chose to use GitHub? (Coronavirus Flashcards)|TODO
